screen,social,gaming,unlocks,night,session
492,184,158,100,166,15
572,163,145,106,179,18
478,251,102,126,118,18
509,249,154,120,140,12
578,156,111,127,138,10
501,179,139,115,132,10
505,198,165,145,161,12
446,293,199,122,176,14
580,260,177,119,94,12
463,221,115,137,131,18
565,229,182,124,96,18
463,232,133,127,131,12
486,191,143,104,125,12
406,166,105,120,116,14
421,156,176,117,147,11
480,159,163,146,135,15
568,183,199,105,155,16
473,185,121,128,114,18
537,155,117,118,162,15
584,295,111,132,116,12
534,283,151,100,90,14
524,178,193,144,176,13
449,275,150,102,163,14
451,230,170,141,131,17
560,224,195,120,141,17
400,175,147,134,114,15
580,276,118,140,143,10
587,264,105,139,156,17
561,275,183,102,95,17
403,177,126,124,147,11
544,280,152,144,159,13
531,224,147,137,142,11
570,227,106,144,155,13
403,239,158,119,147,19
400,170,168,143,171,16
470,203,110,144,176,18
577,252,114,133,91,17
588,208,163,120,165,18
434,221,102,147,111,17
407,169,168,122,126,11
551,261,122,105,109,16
435,208,152,112,113,11
577,220,136,148,173,11
522,286,108,122,154,13
442,258,114,108,154,10
426,278,102,116,170,14
431,205,192,101,90,15
477,184,169,118,92,18
520,272,116,118,135,19
545,280,125,106,144,17
555,253,120,141,164,11
556,156,171,141,177,10
415,176,120,119,175,11
498,150,110,108,153,16
446,236,137,116,134,13
586,190,171,126,115,19
430,272,187,146,166,14
403,224,134,101,154,16
564,191,113,135,113,12
416,266,113,118,163,19
438,212,109,116,124,11
447,276,111,104,113,16
573,282,137,138,117,14
575,197,133,117,169,10
438,152,140,106,105,10
531,265,109,116,148,18
429,248,116,138,170,14
557,265,116,135,143,10
421,163,166,139,168,16
465,261,161,144,105,18
507,210,194,103,104,10
411,244,100,137,100,19
435,166,111,124,154,13
417,273,103,104,168,12
489,173,141,129,179,14
580,265,112,111,157,16
598,231,197,103,132,17
400,199,184,123,158,11
526,228,185,128,102,16
585,228,103,108,99,10
489,219,181,103,164,16
486,176,168,123,171,17
489,164,118,113,130,11
533,199,101,104,139,18
469,185,111,117,176,10
443,157,180,141,160,15
599,228,173,118,148,10
551,280,197,111,128,12
485,196,105,117,92,15
418,254,107,116,165,12
500,247,150,129,96,17
545,245,110,123,138,14
494,265,162,110,115,11
500,162,156,134,122,13
429,150,111,122,137,18
569,183,172,116,168,13
432,228,101,100,91,19
411,227,107,114,160,19
517,270,110,131,121,17
493,242,152,108,93,14
554,247,199,114,109,19
566,231,109,127,125,10
536,187,184,123,121,16
548,163,183,134,117,12
475,285,107,121,166,19
428,240,135,126,90,17
560,203,192,118,149,12
589,279,175,144,145,10
516,250,113,111,124,14
414,238,153,119,119,11
401,205,184,100,143,13
579,243,185,120,125,10
516,242,120,148,144,18
571,233,149,144,178,15
581,234,193,100,169,17
417,171,138,109,147,13
402,184,119,146,172,18
534,165,187,131,154,11
570,199,186,138,158,18
565,271,106,121,140,14
564,277,108,117,111,15
585,262,100,147,177,12
560,166,125,145,142,13
507,229,137,131,125,15
586,279,137,126,157,16
494,281,160,127,125,10
521,234,143,117,141,16
410,243,185,138,142,10
467,283,143,148,171,14
522,230,173,128,139,15
595,218,161,117,169,11
512,218,105,143,130,19
497,297,116,107,107,18
492,165,150,130,111,19
421,200,137,133,155,15
593,254,123,106,110,16
571,215,150,135,133,19
526,158,109,117,136,17
533,256,171,137,128,19
569,249,120,108,118,10
424,235,169,108,143,17
584,213,184,145,179,13
484,171,156,107,174,19
454,259,138,134,106,17
543,246,187,117,169,15
494,167,132,104,149,18
541,220,158,113,120,13
566,276,117,127,162,11
555,246,155,129,167,11
578,150,191,103,138,14
518,281,156,138,91,19
576,153,195,119,137,18
408,274,175,124,103,12
585,231,147,127,148,17
572,176,141,111,147,13
549,208,126,101,147,15
559,181,173,142,140,19
596,177,151,113,173,15
596,255,141,121,91,12
441,254,131,130,130,14
452,219,125,122,172,12
586,211,124,147,171,10
473,183,174,119,105,16
438,236,122,137,93,13
521,263,197,103,101,16
414,255,156,114,118,12
598,205,151,123,96,14
556,262,186,124,103,14
522,162,192,100,101,11
510,167,130,106,94,19
530,262,163,130,170,11
482,188,170,111,121,13
409,228,132,141,163,13
491,295,184,104,132,13
428,179,101,143,170,15
434,247,117,149,158,11
405,207,146,141,134,15
539,216,132,137,98,16
510,220,197,111,138,19
437,295,183,138,122,12
476,255,134,117,107,17
492,156,150,101,98,11
546,189,117,109,151,17
466,219,187,114,146,14
535,217,171,129,118,11
407,198,129,143,167,16
521,201,143,116,114,11
483,263,152,103,104,15
574,256,109,106,95,19
531,178,186,140,131,12
578,298,151,130,118,18
484,227,148,138,168,12
594,158,110,133,93,12
444,225,165,105,171,14
535,191,157,149,146,16
486,277,189,137,138,17
415,169,135,144,133,16
476,221,132,133,169,18
594,214,146,143,164,14
408,262,112,114,103,19
459,173,139,113,92,12
477,277,188,105,151,15
476,232,167,149,153,14
470,212,141,136,134,13
414,209,118,149,171,11
470,248,181,131,147,16
501,211,193,102,109,14
568,179,118,102,147,13
421,171,157,121,178,17
551,275,122,121,146,18
512,191,153,109,166,18
571,247,179,102,157,12
400,180,164,111,167,12
409,261,111,128,141,14
509,295,123,147,126,14
599,271,133,116,97,19
583,166,152,106,133,11
512,187,107,112,94,10
449,291,117,101,158,17
411,259,156,103,120,12
488,171,104,109,134,10
587,205,125,138,98,10
553,268,129,123,121,11
511,296,153,116,122,15
477,206,112,105,156,15
568,184,182,118,119,12
563,263,128,104,165,13
520,274,102,131,118,11
422,278,189,109,92,11
570,201,157,108,179,16
533,234,175,126,146,10
596,214,101,112,119,16
570,278,174,118,98,10
424,170,127,120,115,15
417,165,181,123,91,12
589,272,176,137,151,17
540,210,185,103,92,15
442,203,175,123,135,11
477,175,101,134,157,17
427,229,106,102,114,14
545,214,125,103,140,17
458,249,189,136,102,17
587,223,187,139,133,15
462,166,175,147,124,11
584,270,115,134,144,17
491,172,122,130,176,15
578,284,139,143,98,15
455,220,159,124,91,17
554,257,172,139,150,10
559,228,131,112,130,11
510,195,114,103,133,18
536,227,112,145,153,17
467,165,104,113,120,16
445,220,174,112,136,16
466,245,173,126,91,14
553,296,151,105,171,11
535,151,176,116,166,15
405,159,140,135,158,19
423,274,152,139,147,12
575,230,149,148,133,13
493,289,114,134,163,19
572,219,106,116,145,11
412,299,139,140,132,11
596,181,127,101,178,17
424,254,131,112,123,17
547,233,198,101,119,19
517,278,114,127,160,15
481,207,199,142,159,14
510,295,184,125,144,17
481,283,169,121,156,13
465,194,164,146,102,13
444,246,103,142,92,14
513,172,110,102,115,10
574,172,125,134,146,10
462,284,160,111,113,11
475,228,136,123,142,17
513,193,122,104,159,16
510,176,192,119,132,19
582,175,184,138,149,18
546,246,190,138,147,14
434,185,139,112,138,11
452,258,176,140,131,16
425,204,122,144,165,17
413,218,115,111,155,16
517,210,193,112,100,16
444,279,160,109,179,14
571,204,167,132,107,11
592,271,179,139,174,15
450,246,130,115,141,13
570,229,152,144,135,19
518,236,124,134,133,11
550,187,143,102,111,18
583,268,111,104,142,16
418,227,189,125,148,15
481,184,196,110,119,14
475,228,191,106,97,12
582,216,108,109,146,19
491,236,111,141,162,19
587,183,168,133,109,13
586,246,153,102,114,12
432,220,153,107,108,17
546,152,127,130,94,12
427,207,155,110,164,16
522,181,198,144,168,16
579,180,168,106,161,16
525,231,197,144,172,16
576,192,197,101,176,11
436,284,176,105,116,19
553,254,157,140,129,12
498,150,177,131,115,19
497,210,174,119,116,18
526,163,141,133,151,12
567,155,137,149,172,11
479,252,167,115,139,18
437,159,152,124,131,19
476,220,132,111,118,18
525,239,170,106,128,13
486,298,155,138,149,18
453,275,171,116,130,12
549,246,150,144,122,16
415,223,173,110,172,16
427,264,142,105,172,17
562,200,114,122,105,19
587,205,137,126,112,13
572,190,114,145,96,12
445,181,104,105,115,12
471,164,192,137,101,14
582,211,182,101,161,10
484,177,153,121,94,19
425,213,150,119,158,12
484,279,109,124,138,15
552,276,111,114,115,12
464,185,103,148,94,14
533,263,194,128,111,18
550,162,117,107,168,11
514,164,179,136,102,11
463,238,135,148,117,15
